,src,trg,P1,P5,P10,MRR,MAP,method,src,trg,pearson,spearman,neighbor,spect_cond,eff_spect_cond,svg,laplacian,bhattacharyya,jsd,token_overlap,lang_pair,corpus,src_tokens,trg_tokens,token_min,src_vocab,trg_vocab,family_distance,syntax_distance,geo_distance
0,cs,da,0.5606820461384152,0.7432296890672017,0.7893681043129388,0.6426373233621268,0.5950852667627142,vecmap_s,cs,da,0.5338,0.5182,0.1602,1771.9874,25.4451,13.5737,1630.2,0.16551369515122696,0.3751913957030109,0.07046559259166127,cs-da,domain,132763620,66676633,66676633,675979,350829,10.0,9.4999,0.0009667745606158906
1,cs,de,0.6266266266266266,0.8128128128128128,0.8608608608608609,0.7138440380816767,0.6688075824633111,vecmap_s,cs,de,0.5854,0.5544,0.2298,452.2582,23.875,25.3769,1391.4,0.14233966089062502,0.351626049671276,0.05550512408862816,cs-de,domain,132763620,913428282,132763620,675979,2581534,10.0,10.833300000000001,0.00011601411404926765
2,cs,el,0.5050200803212851,0.7108433734939759,0.7751004016064257,0.6012012407018961,0.561261744524901,vecmap_s,cs,el,0.4769,0.4624,0.1228,2086.462,23.1961,5.1407,1593.6,0.15019406395967008,0.3591865014105462,0.05794291008537623,cs-el,domain,132763620,70194124,70194124,675979,338996,9.0,12.0,0.002655838751112971
3,cs,en,0.5879396984924623,0.7447236180904523,0.7919597989949749,0.6582352663086237,0.624647927109079,vecmap_s,cs,en,0.5911,0.556,0.2803,31.9794,15.9855,33.4077,1388.2,0.1917021715339856,0.3956460669597904,0.05168865775301648,cs-en,domain,132763620,2319483831,132763620,675979,11425826,13.0,12.1665,0.0028523539605421755
4,cs,es,0.6609999999999999,0.8270000000000001,0.865,0.7363172211719543,0.6877499549738222,vecmap_s,cs,es,0.5802,0.5498,0.1946,536.7838,24.3029,110.7605,1492.4,0.13631429284563334,0.3448729344347959,0.08440546574600863,cs-es,domain,132763620,692375637,132763620,675979,1429514,16.0,11.8333,0.005613132520183695
5,cs,fi,0.47700000000000004,0.68,0.746,0.5702852141266738,0.5059286916569415,vecmap_s,cs,fi,0.504,0.4784,0.1422,2029.7187,25.1104,58.07899999999999,1652.4,0.18833799269270865,0.3963378450768292,0.05868273852696295,cs-fi,domain,132763620,102487802,102487802,675979,786031,9.0,8.166599999999999,0.0064664604289256244
6,cs,hu,0.5380761523046093,0.750501002004008,0.8026052104208417,0.6305587749426813,0.5767206804461162,vecmap_s,cs,hu,0.5760000000000001,0.5517,0.1489,1739.0095,26.7882,5.9437,1553.0,0.17042074989532013,0.3808588214672141,0.07398977994967475,cs-hu,domain,132763620,153998201,132763620,675979,877552,7.0,13.166699999999999,0.00046620731997615295
7,cs,no,0.5652610441767069,0.7580321285140562,0.8032128514056225,0.6528983255654973,0.6134188588563629,vecmap_s,cs,no,0.551,0.5312,0.1766,1557.3664,24.4708,35.4909,1555.0,0.1735803206595524,0.3833993577207605,0.07983819563468493,cs-no,domain,132763620,125111145,125111145,675979,558347,9.0,8.4999,0.002877186672144094
8,cs,ro,0.5135678391959799,0.7417085427135678,0.7939698492462312,0.6170924397458867,0.5763492357558903,vecmap_s,cs,ro,0.5178,0.4949,0.1611,1433.5768,24.5683,104.5584,1534.0,0.16650922750835748,0.3750189344526752,0.10491037782039477,cs-ro,domain,132763620,88772650,88772650,675979,383394,12.0,11.3332,0.0012739151367444634
9,cs,tr,0.39558232931726905,0.6114457831325302,0.6726907630522089,0.4903125952666855,0.4435884874154691,vecmap_s,cs,tr,0.528,0.5095,0.1655,2023.4907,27.6912,1.2875,1674.6,0.233199445107067,0.4350697746001732,0.07176082207570195,cs-tr,domain,132763620,78212294,78212294,675979,464872,12.0,15.999999999999998,0.006576631371038477
10,da,cs,0.4939879759519038,0.7134268537074149,0.7715430861723447,0.5935539423352137,0.5376998586915974,vecmap_s,da,cs,0.5383,0.5205,0.1656,1771.987,25.4451,13.5737,1651.2,0.16539970964355036,0.3751098856097885,0.07046559259166127,cs-da,domain,66676633,132763620,66676633,350829,675979,10.0,9.4999,0.0009667745606158906
11,da,de,0.6227364185110664,0.8329979879275654,0.8752515090543259,0.7162737491632768,0.667199314680499,vecmap_s,da,de,0.6827,0.6594,0.3341,609.4476,23.8542,3.2426,1316.0,0.14349813361890645,0.3501555749670719,0.03884371055419274,da-de,domain,66676633,913428282,66676633,350829,2581534,6.0,6.0,0.0010970617995952336
12,da,el,0.521,0.753,0.7909999999999999,0.6238357836413314,0.5736702102229427,vecmap_s,da,el,0.4257,0.4085,0.0996,2135.9101,23.9627,36.0997,1681.6,0.1647058460846486,0.37461893880186187,0.06566844002956418,da-el,domain,66676633,70194124,66676633,350829,338996,9.0,9.1667,0.0066595987132680445
13,da,en,0.5371485943775101,0.7359437751004017,0.7871485943775101,0.6277322060195184,0.5851996892764831,vecmap_s,da,en,0.6394,0.6006,0.3442,35.4434,16.2376,18.5356,1353.6,0.17095374103413272,0.3791874997909169,0.034444680926244545,da-en,domain,66676633,2319483831,66676633,350829,11425826,9.0,7.666599999999999,0.0010526867656061034
14,da,es,0.5905905905905906,0.7947947947947948,0.8378378378378378,0.6810784436707076,0.6331945718902686,vecmap_s,da,es,0.5844,0.5494,0.2128,689.8245,23.9235,16.2903,1450.4,0.16993809061756102,0.3793525013837632,0.056072188475802615,da-es,domain,66676633,692375637,66676633,350829,1429514,16.0,9.0,0.00657212834125831
15,da,fi,0.498997995991984,0.7364729458917836,0.7925851703406813,0.6080785594239668,0.5476040829811513,vecmap_s,da,fi,0.505,0.4874,0.1454,2210.0434,27.0752,153.237,1630.0,0.19089930911430755,0.3966815034420315,0.056378651736334974,da-fi,domain,66676633,102487802,66676633,350829,786031,9.0,7.3332999999999995,0.004173379460056026
16,da,hu,0.5015045135406219,0.7111334002006018,0.7763289869608826,0.5997675325274932,0.5431170360333679,vecmap_s,da,hu,0.5426,0.524,0.1548,2017.9909,26.7607,63.8866,1698.6,0.19108060850249056,0.3994354533059472,0.05610299029858392,da-hu,domain,66676633,153998201,66676633,350829,877552,7.0,10.0,0.002711011169801547
17,da,no,0.894,0.9490000000000001,0.9620000000000001,0.9191379986367108,0.8619604375705999,vecmap_s,da,no,0.8819,0.8642,0.6317,134.4935,20.5428,0.5384,999.2,0.06352651474741877,0.23987241307916604,0.14973381894987453,da-no,domain,66676633,125111145,66676633,350829,558347,3.0,2.0,0.0006894016537467573
18,da,ro,0.5381526104417671,0.7761044176706827,0.8142570281124498,0.6429126454008971,0.6001997561967994,vecmap_s,da,ro,0.5314,0.515,0.1897,1334.0617,25.6774,24.7458,1637.6,0.1625286916687004,0.3697169859533767,0.09212366050987582,da-ro,domain,66676633,88772650,66676633,350829,383394,12.0,6.4999,0.004100935994574284
19,da,tr,0.4366438356164384,0.6284246575342466,0.6952054794520548,0.5214450685767874,0.4720483236457865,vecmap_s,da,tr,0.52,0.5054,0.1511,2365.8651,27.9577,12.228,1851.0,0.2339339186953593,0.4332558734770777,0.07595738794728453,da-tr,domain,66676633,78212294,66676633,350829,464872,12.0,19.4999,0.011905812208900635
