,src,trg,P1,P5,P10,MRR,MAP,method,src,trg,pearson,spearman,neighbor,spect_cond,eff_spect_cond,svg,laplacian,bhattacharyya,jsd,token_overlap,lang_pair,corpus,src_tokens,trg_tokens,token_min,src_vocab,trg_vocab,family_distance,syntax_distance,geo_distance
0,cs,da,0.5541082164328658,0.7454909819639278,0.7905811623246493,0.6369379248166406,0.588382939641603,vecmap_s,cs,da,0.5728,0.5014,0.4184,20.8091,13.9171,0.3043,1218.4,0.1410185700703338,0.34981552531463794,0.09470994356124253,cs-da,comparable,39622803,27212844,27212844,287984,173663,10.0,9.4999,0.0009667745606158906
1,cs,de,0.6346346346346347,0.8218218218218218,0.8558558558558559,0.7190089720735321,0.6714936799358799,vecmap_s,cs,de,0.5557,0.4876,0.385,20.899,14.2152,1.9586,1157.4,0.1256776925288233,0.3328811004216568,0.09975293706748613,cs-de,comparable,85638685,195676807,85638685,484135,818811,10.0,10.833300000000001,0.00011601411404926765
2,cs,el,0.4889779559118237,0.7204408817635269,0.7655310621242485,0.591319002463896,0.5496046654904001,vecmap_s,cs,el,0.5631,0.4917,0.4052,21.2651,14.321,0.9283,1281.2,0.12896727556702384,0.33591554916419264,0.07627421985060405,cs-el,comparable,30053158,33832653,30053158,235632,193731,9.0,12.0,0.002655838751112971
3,cs,en,0.6166166166166166,0.7847847847847848,0.8108108108108109,0.6884642822795356,0.6537288379177671,vecmap_s,cs,en,0.5081,0.4558,0.3507,19.4605,13.3501,0.1128,1195.4,0.16082855079305264,0.36605901066213775,0.12886350098524427,cs-en,comparable,98609770,295991202,98609770,529433,594290,13.0,12.1665,0.0028523539605421755
4,cs,es,0.688,0.857,0.89,0.7638894788220193,0.7167111658947499,vecmap_s,cs,es,0.5673,0.4944,0.4166,19.7278,13.537,0.193,1179.2,0.11535624771619335,0.32028837662420845,0.1274892630371842,cs-es,comparable,73780839,152975533,73780839,434588,383344,16.0,11.8333,0.005613132520183695
5,cs,fi,0.4664664664664665,0.6606606606606606,0.7237237237237237,0.5578350667210654,0.497046425029702,vecmap_s,cs,fi,0.5845,0.5008,0.3914,22.7972,13.8697,0.2564,1224.2,0.16529834003538438,0.3745004245890943,0.07272832068225593,cs-fi,comparable,54950071,34628533,34628533,358010,348967,9.0,8.166599999999999,0.0064664604289256244
6,cs,hu,0.517,0.7140000000000001,0.779,0.609540375674097,0.5557730873120021,vecmap_s,cs,hu,0.6157,0.534,0.4218,19.9378,13.6973,0.278,1250.2,0.1590908092118552,0.3695173278231623,0.08611547409864102,cs-hu,comparable,51248955,58412402,51248955,345265,428382,7.0,13.166699999999999,0.00046620731997615295
7,cs,no,0.55,0.7659999999999999,0.818,0.6459793777291634,0.608852760414732,vecmap_s,cs,no,0.5786,0.496,0.41700000000000004,20.7962,14.0442,0.3931,1123.4,0.14902318162109435,0.3585639189766045,0.10361484258994744,cs-no,comparable,49257508,40639769,40639769,331602,232901,9.0,8.4999,0.002877186672144094
8,cs,ro,0.4984984984984985,0.7437437437437437,0.7937937937937938,0.605080742224921,0.5618129901615184,vecmap_s,cs,ro,0.5793,0.4995,0.4257,20.9818,14.1012,0.1057,1250.4,0.13863142611787158,0.3458595915871151,0.1266530156530642,cs-ro,comparable,39152845,36270895,36270895,285994,196662,12.0,11.3332,0.0012739151367444634
9,cs,tr,0.41100000000000003,0.609,0.6809999999999999,0.5033547155346252,0.4555848609263027,vecmap_s,cs,tr,0.5607,0.4738,0.3778,20.2724,13.9513,0.237,1309.0,0.1961426755136261,0.4048163328737552,0.09397142135744607,cs-tr,comparable,41666447,27849942,27849942,294405,232996,12.0,15.999999999999998,0.006576631371038477
10,da,cs,0.4674674674674675,0.7047047047047047,0.7667667667667668,0.5730032959316291,0.5207364930577961,vecmap_s,da,cs,0.5464,0.4704,0.4375,20.8091,13.9171,0.3043,1281.6,0.14371610590331518,0.3526676757011253,0.09470990105719404,cs-da,comparable,27212844,39622803,27212844,173663,287984,10.0,9.4999,0.0009667745606158906
11,da,de,0.6680040120361084,0.8405215646940822,0.8726178535606819,0.7455677943908477,0.6961787297264288,vecmap_s,da,de,0.6077,0.5565,0.4329,22.0149,14.724,0.2811,1115.8,0.11551090127949085,0.3184106261399703,0.09016622477556764,da-de,comparable,41752771,144148009,41752771,239601,637951,6.0,6.0,0.0010970617995952336
12,da,el,0.4869739478957916,0.718436873747495,0.7745490981963928,0.5901966065624029,0.5390341980845667,vecmap_s,da,el,0.5428,0.4934,0.4076,24.0858,15.0098,0.3909,1277.8,0.13995822829710108,0.3493850051333397,0.08005186112529583,da-el,comparable,16722304,27015602,16722304,119540,166964,9.0,9.1667,0.0066595987132680445
13,da,en,0.5995995995995996,0.7737737737737738,0.8238238238238238,0.6781494737067366,0.6295744514402072,vecmap_s,da,en,0.5054,0.4643,0.3576,20.3268,13.2352,0.848,1174.6,0.13651023268243012,0.34470451507543803,0.1225878492759742,da-en,comparable,48835398,213742576,48835398,266130,443580,9.0,7.666599999999999,0.0010526867656061034
14,da,es,0.6216216216216216,0.8128128128128128,0.8498498498498499,0.7101025615595856,0.6575799742213967,vecmap_s,da,es,0.5718,0.5178,0.4193,19.7124,13.5107,0.5907,1225.4,0.13455627725340952,0.34295877409513725,0.12162311084574033,da-es,comparable,36581715,115262303,36581715,214764,307352,16.0,9.0,0.00657212834125831
15,da,fi,0.4874874874874875,0.7187187187187187,0.7727727727727728,0.5905620071665929,0.5350046914083757,vecmap_s,da,fi,0.5638,0.4866,0.4368,22.8609,14.4069,0.529,1258.0,0.1576426904864006,0.3667486995141157,0.07273954593773142,da-fi,comparable,30915037,28679296,28679296,189610,302936,9.0,7.3332999999999995,0.004173379460056026
16,da,hu,0.47200000000000003,0.684,0.748,0.5678425607969467,0.5120650863645905,vecmap_s,da,hu,0.5858,0.5092,0.4195,21.1677,14.2745,1.4539,1232.2,0.17010830840593313,0.38002468228599495,0.07350565571154791,da-hu,comparable,24388154,42341120,24388154,160709,338131,7.0,10.0,0.002711011169801547
17,da,no,0.9309999999999999,0.968,0.972,0.9488252107503236,0.8811109293586994,vecmap_s,da,no,0.809,0.7719,0.6181,21.6751,14.3592,0.0589,1016.4,0.04293853872518928,0.19915628595489784,0.20586327622474104,da-no,comparable,35401015,40881480,35401015,209819,235668,3.0,2.0,0.0006894016537467573
18,da,ro,0.5200803212851406,0.7409638554216867,0.7881526104417671,0.6206858747370355,0.5763604398011034,vecmap_s,da,ro,0.6003,0.5443,0.4463,21.5375,14.196,0.1917,1272.0,0.12087558420748852,0.3252594109281877,0.11775322276530273,da-ro,comparable,21682727,28595626,21682727,146459,165598,12.0,6.4999,0.004100935994574284
19,da,tr,0.410958904109589,0.6198630136986302,0.6797945205479452,0.5016730159578182,0.459748148014029,vecmap_s,da,tr,0.5696,0.4991,0.4184,21.1889,14.1739,0.8966,1237.4,0.19775519407698985,0.4034505434457623,0.09761855668455266,da-tr,comparable,23612907,22508700,22508700,154227,199709,12.0,19.4999,0.011905812208900635
20,de,cs,0.596,0.8220000000000001,0.863,0.6953039382837038,0.6311957585428716,vecmap_s,de,cs,0.5184,0.4534,0.408,20.899,14.2152,1.9586,1191.6,0.13037796381338265,0.3381862067208292,0.0997529222859534,cs-de,comparable,195676807,85638685,85638685,818811,484135,10.0,10.833300000000001,0.00011601411404926765
21,de,da,0.6826826826826827,0.8428428428428428,0.8828828828828829,0.7541490680177779,0.6906661243736472,vecmap_s,de,da,0.5819,0.5399,0.4302,22.0149,14.724,0.2811,1115.4,0.11287012854223252,0.31550799572157,0.09016624320606348,da-de,comparable,144148009,41752771,41752771,637951,239601,6.0,6.0,0.0010970617995952336
22,de,el,0.502,0.733,0.792,0.6066719193859874,0.5430209574745953,vecmap_s,de,el,0.5022,0.4601,0.4012,20.7894,14.4412,0.593,1238.8,0.1382594409446741,0.34739015410563023,0.07013420533622564,de-el,comparable,95490173,46277581,46277581,464194,242448,9.0,8.1667,0.0029765391761000792
23,de,en,0.7449596774193549,0.8538306451612904,0.876008064516129,0.7953138228019105,0.7513147050509367,vecmap_s,de,en,0.588,0.5453,0.3545,21.2453,14.1237,1.2068,1146.0,0.16935060737287966,0.3761266490365286,0.13685474976707732,de-en,comparable,575520225,751512779,575520225,1767471,1232267,7.0,6.0,0.002357720030083721
24,de,es,0.6686746987951807,0.8353413654618473,0.8704819277108434,0.7440910183783324,0.6875271606305929,vecmap_s,de,es,0.5873,0.5361,0.3953,21.8027,14.2748,1.2032,1161.0,0.13484817559207024,0.3431327455093933,0.1217707637728492,de-es,comparable,335856992,295478633,295478633,1214311,630411,16.0,8.0,0.004134973629210892
