,src,trg,P1,P5,P10,MRR,MAP,method,src,trg,pearson,spearman,neighbor,spect_cond,eff_spect_cond,svg,laplacian,bhattacharyya,jsd,token_overlap,lang_pair,corpus,src_tokens,trg_tokens,token_min,src_vocab,trg_vocab,family_distance,syntax_distance,geo_distance
0,cs,da,0.091,0.196,0.275,0.1512388500406264,0.1319269325574304,vecmap_s,cs,da,0.5385,0.4758,0.3952,19.5486,13.5343,1.048,1228.2,0.12074013729269277,0.32673918461381696,0.13218170535844648,cs-da,parallel,1109522,1166230,1109522,21568,17016,10.0,9.4999,0.0009667745606158906
1,cs,de,0.239,0.40299999999999997,0.485,0.3205846410191933,0.2861052542741215,vecmap_s,cs,de,0.5446,0.4805,0.3915,21.3889,13.8301,0.7867,1122.4,0.1063818331849481,0.30876708999507435,0.1763189722637233,cs-de,parallel,3525796,3816541,3525796,51093,41874,10.0,10.833300000000001,0.00011601411404926765
2,cs,el,0.051,0.138,0.182,0.0979917892956262,0.08599896855477969,vecmap_s,cs,el,0.5549,0.4819,0.3886,19.6301,13.2648,1.1968,1225.6,0.10775626092274523,0.3099598921286093,0.08688302604204033,cs-el,parallel,1055943,1233524,1055943,21158,19629,9.0,12.0,0.002655838751112971
3,cs,en,0.442,0.613,0.679,0.5244249094551446,0.488103936332953,vecmap_s,cs,en,0.4308,0.3787,0.2908,20.4733,13.1789,0.6475,1215.2,0.12438880956161776,0.32657407216709283,0.2385689374530325,cs-en,parallel,9661945,10923853,9661945,106661,62715,13.0,12.1665,0.0028523539605421755
4,cs,es,0.20800000000000002,0.392,0.473,0.2980319867595493,0.2691222473127829,vecmap_s,cs,es,0.4994,0.4424,0.3909,18.4002,12.7853,0.5764,1164.8,0.09388651217905493,0.29166772352712306,0.18066735064407874,cs-es,parallel,2897505,3510714,2897505,45907,33932,16.0,11.8333,0.005613132520183695
5,cs,fi,0.069,0.17,0.225,0.1210899056333026,0.10136703520857586,vecmap_s,cs,fi,0.5319,0.4672,0.3911,21.6706,14.3039,1.3318,1235.6,0.13835906627867367,0.34647488873353355,0.1042292173742588,cs-fi,parallel,1310279,1097935,1097935,24304,21799,9.0,8.166599999999999,0.0064664604289256244
6,cs,hu,0.077,0.198,0.267,0.142261918873211,0.12612030250016965,vecmap_s,cs,hu,0.6063,0.5186,0.4153,19.1444,13.1429,0.1727,1192.6,0.13107479975017985,0.33931683424429043,0.11674778004148648,cs-hu,parallel,1499972,1466125,1466125,27218,25902,7.0,13.166699999999999,0.00046620731997615295
7,cs,no,0.11,0.257,0.312,0.1823304571906193,0.1651351241980643,vecmap_s,cs,no,0.5288,0.4643,0.3997,20.365,13.6945,0.9356,1202.4,0.12306497106258288,0.3289447231151955,0.14906311596751373,cs-no,parallel,1354978,1389802,1354978,25108,18983,9.0,8.4999,0.002877186672144094
8,cs,ro,0.095,0.209,0.276,0.15502393056510372,0.14034840277772398,vecmap_s,cs,ro,0.5556,0.4872,0.423,20.0357,13.2563,0.4867,1197.6,0.11034172717469952,0.3127954753331528,0.13342214150482734,cs-ro,parallel,1310552,1545708,1310552,25046,22909,12.0,11.3332,0.0012739151367444634
9,cs,tr,0.059000000000000004,0.14800000000000002,0.209,0.10685822075946033,0.09087890436476027,vecmap_s,cs,tr,0.5555,0.4543,0.3804,19.4122,13.5162,0.1266,1266.4,0.16640282945581178,0.3777555684142996,0.11033835370687138,cs-tr,parallel,1055138,981224,981224,20895,20066,12.0,15.999999999999998,0.006576631371038477
10,da,cs,0.076,0.19399999999999998,0.24100000000000002,0.13451532118163168,0.111404627675789,vecmap_s,da,cs,0.53,0.4585,0.4141,19.5486,13.5343,1.048,1244.2,0.12403592637086865,0.33043344481680786,0.13218170535844648,cs-da,parallel,1166230,1109522,1109522,17016,21568,10.0,9.4999,0.0009667745606158906
11,da,de,0.414,0.596,0.652,0.4972985413704102,0.4521130856114998,vecmap_s,da,de,0.6131,0.5752,0.4063,21.6704,14.328,0.741,1133.2,0.08826760414455105,0.28177888032825105,0.22072852855538397,da-de,parallel,2920712,3033147,2920712,34377,35809,6.0,6.0,0.0010970617995952336
12,da,el,0.053,0.147,0.195,0.10332696330300403,0.08644093574546803,vecmap_s,da,el,0.5059,0.4488,0.4046,19.867,13.7222,0.1672,1216.6,0.11700923590638405,0.32269833760768785,0.09213995005087412,da-el,parallel,901842,1002992,901842,14132,16856,9.0,9.1667,0.0066595987132680445
13,da,en,0.5720000000000001,0.723,0.764,0.642890885392913,0.5937938371692617,vecmap_s,da,en,0.4465,0.39299999999999996,0.276,20.7311,13.6303,3.1481,1267.0,0.10445206441460536,0.30583445701339196,0.2971377810718607,da-en,parallel,8855781,9428735,8855781,73654,56216,9.0,7.666599999999999,0.0010526867656061034
